current,target,value
0.9,0.2,0.008599741
0.9,0.25,0.0086138295
0.9,0.3,0.008573704
0.9,0.35,0.008469734
0.9,0.4,0.008302362
0.9,0.45,0.008036199
0.9,0.5,0.0076626283
0.9,0.55,0.00716412
0.9,0.6,0.006527562
0.9,0.65,0.005806761
0.9,0.7,0.00501462
0.9,0.75,0.004183583
0.9,0.8,0.0033714215
0.9,0.85,0.0025862816
0.9,0.9,0.0018588178
0.85,0.2,0.008629747
0.85,0.25,0.008649329
0.85,0.3,0.008610605
0.85,0.35,0.008493408
0.85,0.4,0.008309219
0.85,0.45,0.008012378
0.85,0.5,0.007601134
0.85,0.55,0.007049588
0.85,0.6,0.0063494435
0.85,0.65,0.0055598835
0.85,0.7,0.004691376
0.85,0.75,0.0037829052
0.85,0.8,0.0028971825
0.85,0.85,0.0020420784
0.85,0.9,0.0012490313
0.8,0.2,0.008474457
0.8,0.25,0.008492676
0.8,0.3,0.008446898
0.8,0.35,0.008320061
0.8,0.4,0.008111748
0.8,0.45,0.007786713
0.8,0.5,0.0073336116
0.8,0.55,0.0067337104
0.8,0.6,0.00597501
0.8,0.65,0.0051237135
0.8,0.7,0.004193152
0.8,0.75,0.0032230583
0.8,0.8,0.002278365
0.8,0.85,0.0013657882
0.8,0.9,0.0005221077
0.75,0.2,0.0076965396
0.75,0.25,0.0077151773
0.75,0.3,0.0076616933
0.75,0.35,0.0075235893
0.75,0.4,0.007298143
0.75,0.45,0.006945801
0.75,0.5,0.006462627
0.75,0.55,0.0058294954
0.75,0.6,0.005039329
0.75,0.65,0.0041598864
0.75,0.7,0.003201735
0.75,0.75,0.0022051604
0.75,0.8,0.0012378641
0.75,0.85,0.00030747667
0.75,0.9,-0.00055338064
0.7,0.2,0.00698205
0.7,0.25,0.0069939955
0.7,0.3,0.0069297375
0.7,0.35,0.0067746965
0.7,0.4,0.006527176
0.7,0.45,0.0061549884
0.7,0.5,0.005652761
0.7,0.55,0.005009924
0.7,0.6,0.0042151827
0.7,0.65,0.0033381796
0.7,0.7,0.002387915
0.7,0.75,0.0014106007
0.7,0.8,0.00046192005
0.7,0.85,-0.0004474339
