current,target,value
0.9,0.2,0.004363917
0.9,0.25,0.004395085
0.9,0.3,0.004391832
0.9,0.35,0.004338108
0.9,0.4,0.0042357272
0.9,0.45,0.0040484476
0.9,0.5,0.0037635567
0.9,0.55,0.0033650415
0.9,0.6,0.0028404032
0.9,0.65,0.0022382394
0.9,0.7,0.0015690983
0.9,0.75,0.00086505397
0.9,0.8,0.0001732825
0.9,0.85,-0.00049326895
0.9,0.9,-0.0011092263
0.85,0.2,0.004566338
0.85,0.25,0.0046039
0.85,0.3,0.004602719
0.85,0.35,0.004546707
0.85,0.4,0.0044352487
0.85,0.45,0.0042307163
0.85,0.5,0.003921127
0.85,0.55,0.0034882864
0.85,0.6,0.0029217063
0.85,0.65,0.0022734725
0.85,0.7,0.0015548989
0.85,0.75,0.0008017674
0.85,0.8,6.232047e-05
0.85,0.85,-0.00064782414
0.85,0.9,-0.0013043723
0.8,0.2,0.00396079
0.8,0.25,0.0040016975
0.8,0.3,0.0039979825
0.8,0.35,0.0039335773
0.8,0.4,0.0038059822
0.8,0.45,0.0035773588
0.8,0.5,0.0032359578
0.8,0.55,0.0027624995
0.8,0.6,0.0021475942
0.8,0.65,0.0014483512
0.8,0.7,0.00067669095
0.8,0.75,-0.00012918882
0.8,0.8,-0.00091876416
0.8,0.85,-0.0016760334
0.8,0.9,-0.0023739217
0.75,0.2,0.002378542
0.75,0.25,0.0024157437
0.75,0.3,0.0024030313
0.75,0.35,0.0023202226
0.75,0.4,0.00216701
0.75,0.45,0.0019043365
0.75,0.5,0.001523101
0.75,0.55,0.0010035585
0.75,0.6,0.00033929443
0.75,0.65,-0.0004095357
0.75,0.7,-0.0012312087
0.75,0.75,-0.002085678
0.75,0.8,-0.0029188707
0.75,0.85,-0.0037159945
0.75,0.9,-0.00444872
0.7,0.2,0.0029819724
0.7,0.25,0.0030157913
0.7,0.3,0.0029935902
0.7,0.35,0.002899552
0.7,0.4,0.0027317358
0.7,0.45,0.002458645
0.7,0.5,0.0020739706
0.7,0.55,0.0015613039
0.7,0.6,0.00091782305
0.7,0.65,0.00020240193
0.7,0.7,-0.0005761524
0.7,0.75,-0.0013794089
0.7,0.8,-0.0021604812
0.7,0.85,-0.0029032459
0.7,0.9,-0.003583486
0.65,0.2,0.0024298786
0.65,0.25,0.0024451835
