current,target,value
0.9,0.2,0.009407674
0.9,0.25,0.009432154
0.9,0.3,0.009428851
0.9,0.35,0.009387848
0.9,0.4,0.00930871
0.9,0.45,0.009163409
0.9,0.5,0.008943574
0.9,0.55,0.008635931
0.9,0.6,0.008233948
0.9,0.65,0.0077724447
0.9,0.7,0.0072616795
0.9,0.75,0.006725105
0.9,0.8,0.0061996467
0.9,0.85,0.0056935484
0.9,0.9,0.005225032
0.85,0.2,0.009864489
0.85,0.25,0.0098939305
0.85,0.3,0.009891808
0.85,0.35,0.009845962
0.85,0.4,0.0097573465
0.85,0.45,0.009594973
0.85,0.5,0.009350693
0.85,0.55,0.009009695
0.85,0.6,0.008566482
0.85,0.65,0.008061166
0.85,0.7,0.007503368
0.85,0.75,0.00691997
0.85,0.8,0.006348571
0.85,0.85,0.0058006863
0.85,0.9,0.0052933
0.8,0.2,0.010008632
0.8,0.25,0.010041839
0.8,0.3,0.010039014
0.8,0.35,0.009989584
0.8,0.4,0.009890494
0.8,0.45,0.009710554
0.8,0.5,0.009443086
0.8,0.55,0.009072969
0.8,0.6,0.008596216
0.8,0.65,0.008054829
0.8,0.7,0.0074602943
0.8,0.75,0.0068418146
0.8,0.8,0.0062376205
0.8,0.85,0.0056587695
0.8,0.9,0.005124401
0.75,0.2,0.009801575
0.75,0.25,0.0098345755
0.75,0.3,0.009828603
0.75,0.35,0.009769411
0.75,0.4,0.009654601
0.75,0.45,0.009455995
0.75,0.5,0.00916681
0.75,0.55,0.008774003
0.75,0.6,0.008276815
0.75,0.65,0.00771778
0.75,0.7,0.00710937
0.75,0.75,0.0064794803
0.75,0.8,0.0058673667
0.75,0.85,0.005283384
0.75,0.9,0.0047460496
0.7,0.2,0.009276836
0.7,0.25,0.0093059065
0.7,0.3,0.009290941
0.7,0.35,0.009217703
0.7,0.4,0.009083787
0.7,0.45,0.008865221
0.7,0.5,0.008560884
0.7,0.55,0.008156452
0.7,0.6,0.007655832
0.7,0.65,0.0071023297
0.7,0.7,0.0065073585
0.7,0.75,0.005895398
0.7,0.8,0.0053040814
0.7,0.85,0.004743056
0.7,0.9,0.0042302716
0.65,0.2,0.008462989
0.65,0.25,0.008478687
0.65,0.3,0.008439599
0.65,0.35,0.008334295
0.65,0.4,0.008166852
0.65,0.45,0.007918613
0.65,0.5,0.007597207
0.65,0.55,0.007188913
0.65,0.6,0.006703253
0.65,0.65,0.0061774007
0.65,0.7,0.0056224163
0.65,0.75,0.0050609224
0.65,0.8,0.0045229387
0.65,0.85,0.0040147514
0.65,0.9,0.0035528329
0.6,0.2,0.0074010314
0.6,0.25,0.007399387
0.6,0.3,0.007331243
0.6,0.35,0.0071933884
0.6,0.4,0.0069866045
0.6,0.45,0.0067106597
0.6,0.5,0.0063801385
0.6,0.55,0.0059831403
0.6,0.6,0.005535271
0.6,0.65,0.0050680675
0.6,0.7,0.004588414
0.6,0.75,0.0041113035
0.6,0.8,0.0036609333
0.6,0.85,0.0032405942
0.6,0.9,0.002859938
0.55,0.2,0.006245337
0.55,0.25,0.0062096184
0.55,0.3,0.0060932324
0.55,0.35,0.005904709
0.55,0.4,0.0056447033
0.55,0.45,0.0053359903
0.55,0.5,0.004998078
0.55,0.55,0.004621137
0.55,0.6,0.004226567
0.55,0.65,0.003836507
0.55,0.7,0.003449746
0.55,0.75,0.003079915
0.55,0.8,0.0027395135
0.55,0.85,0.0024295046
0.55,0.9,0.0021523582
0.5,0.2,0.0048743994
0.5,0.25,0.0047933212
0.5,0.3,0.004610476
0.5,0.35,0.0043594544
0.5,0.4,0.004040988
0.5,0.45,0.003694919
0.5,0.5,0.0033571415
0.5,0.55,0.0030166334
0.5,0.6,0.0026926773
0.5,0.65,0.002402013
0.5,0.7,0.002136623
0.5,0.75,0.0018978423
0.5,0.8,0.0016878456
0.5,0.85,0.0015052952
0.5,0.9,0.001345651
0.45,0.2,0.003999698
0.45,0.25,0.003842894
0.45,0.3,0.0035671801
0.45,0.35,0.0032345064
0.45,0.4,0.0028419285
0.45,0.45,0.002455574
0.45,0.5,0.0021121711
0.45,0.55,0.0017990209
0.45,0.6,0.0015365749
0.45,0.65,0.0013314459
0.45,0.7,0.0011649759
0.45,0.75,0.0010343816
0.45,0.8,0.000928469
0.45,0.85,0.0008451689
0.45,0.9,0.00078092393
0.4,0.2,0.003594946
0.4,0.25,0.0033149878
0.4,0.3,0.0029189223
0.4,0.35,0.002486468
0.4,0.4,0.0020229658
0.4,0.45,0.0016045421
0.4,0.5,0.0012591354
0.4,0.55,0.0009793005
0.4,0.6,0.00077076454
0.4,0.65,0.00063735555
0.4,0.7,0.0005520725
0.4,0.75,0.0005014063
0.4,0.8,0.00047536573
0.4,0.85,0.00046723455
0.4,0.9,0.000468104
0.35,0.2,0.0029491258
0.35,0.25,0.002539567
0.35,0.3,0.0020373203
0.35,0.35,0.0015421252
0.35,0.4,0.0010472283
0.35,0.45,0.00063077186
0.35,0.5,0.00031865947
0.35,0.55,9.486838e-05
0.35,0.6,-4.8338803e-05
0.35,0.65,-0.00011091051
0.35,0.7,-0.00012302815
0.35,0.75,-0.00011041657
0.35,0.8,-6.0263996e-05
0.35,0.85,-8.649521e-06
0.35,0.9,4.544367e-05
0.3,0.2,0.0025249075
0.3,0.25,0.0019372352
0.3,0.3,0.0013241118
0.3,0.35,0.00077955786
0.3,0.4,0.00028858794
0.3,0.45,-9.693974e-05
0.3,0.5,-0.00035514648
0.3,0.55,-0.0005226076
0.3,0.6,-0.0006184342
0.3,0.65,-0.00063838315
0.3,0.7,-0.00062234304
0.3,0.75,-0.00058708555
