current,target,value
0.9,0.2,0.007740805
0.9,0.25,0.0077493307
0.9,0.3,0.007691144
0.9,0.35,0.0075576836
0.9,0.4,0.0073467
0.9,0.45,0.0070275273
0.9,0.5,0.0065867533
0.9,0.55,0.0060107335
0.9,0.6,0.0052815797
0.9,0.65,0.004464688
0.9,0.7,0.0035663508
0.9,0.75,0.0026278526
0.9,0.8,0.0017111202
0.9,0.85,0.0008247116
0.9,0.9,2.7934934e-06
0.85,0.2,0.0072236545
0.85,0.25,0.007233249
0.85,0.3,0.007176238
0.85,0.35,0.007031084
0.85,0.4,0.006800929
0.85,0.45,0.0064512286
0.85,0.5,0.0059730527
0.85,0.55,0.005339845
0.85,0.6,0.0045421906
0.85,0.65,0.0036492748
0.85,0.7,0.0026649982
0.85,0.75,0.0016426214
0.85,0.8,0.00064223283
0.85,0.85,-0.0003202633
0.85,0.9,-0.0012151311
0.8,0.2,0.007143655
0.8,0.25,0.0071507986
0.8,0.3,0.007083209
0.8,0.35,0.006921113
0.8,0.4,0.0066602305
0.8,0.45,0.006270721
0.8,0.5,0.005742808
0.8,0.55,0.0050519235
0.8,0.6,0.004184897
0.8,0.65,0.0032164138
0.8,0.7,0.0021621715
0.8,0.75,0.0010646844
0.8,0.8,-6.748561e-06
0.8,0.85,-0.0010403687
0.8,0.9,-0.0019970227
0.75,0.2,0.0061065373
0.75,0.25,0.00611574
0.75,0.3,0.0060341186
0.75,0.35,0.0058573033
0.75,0.4,0.0055739526
0.75,0.45,0.00514871
0.75,0.5,0.004579664
0.75,0.55,0.0038439818
0.75,0.6,0.002930309
0.75,0.65,0.001917796
0.75,0.7,0.000815358
0.75,0.75,-0.00032460038
0.75,0.8,-0.0014338694
0.75,0.85,-0.0025039297
0.75,0.9,-0.0034933318
0.7,0.2,0.0050234376
0.7,0.25,0.005022885
0.7,0.3,0.004933165
0.7,0.35,0.004742762
0.7,0.4,0.004438861
0.7,0.45,0.004003647
0.7,0.5,0.0034242456
0.7,0.55,0.0026853753
0.7,0.6,0.0017797429
0.7,0.65,0.0007788537
0.7,0.7,-0.00030308173
0.7,0.75,-0.0014200467
0.7,0.8,-0.0024996218
0.7,0.85,-0.0035396435
0.7,0.9,-0.004494571
0.65,0.2,0.0041275183
0.65,0.25,0.0041008843
0.65,0.3,0.003980302
0.65,0.35,0.003752998
0.65,0.4,0.0034171285
0.65,0.45,0.0029566416
0.65,0.5,0.0023615435
0.65,0.55,0.0016262388
