current,target,value
0.3,0.35,-0.0056407917
0.3,0.4,-0.005913394
0.3,0.45,-0.006096353
0.3,0.5,-0.0061775856
0.3,0.55,-0.0061549013
0.3,0.6,-0.006052372
0.3,0.65,-0.005889327
0.3,0.7,-0.0056804577
0.3,0.75,-0.0054620155
0.3,0.8,-0.0052315057
0.3,0.85,-0.005007365
0.3,0.9,-0.004801639
0.25,0.2,-0.003599039
0.25,0.25,-0.004139991
0.25,0.3,-0.004613307
0.25,0.35,-0.0049860594
0.25,0.4,-0.0052372874
0.25,0.45,-0.0053922585
0.25,0.5,-0.005438742
0.25,0.55,-0.0053945305
0.25,0.6,-0.005290937
0.25,0.65,-0.005145685
0.25,0.7,-0.0049689207
0.25,0.75,-0.0047924956
0.25,0.8,-0.004603912
0.25,0.85,-0.0044266707
0.25,0.9,-0.0042643887
0.2,0.2,-0.00274666
0.2,0.25,-0.003366279
0.2,0.3,-0.0038705324
0.2,0.35,-0.0042273523
0.2,0.4,-0.004455173
0.2,0.45,-0.004583712
0.2,0.5,-0.004613549
0.2,0.55,-0.004572053
0.2,0.6,-0.0044916715
0.2,0.65,-0.004390194
0.2,0.7,-0.0042724092
0.2,0.75,-0.00415836
0.2,0.8,-0.0040315217
0.2,0.85,-0.0039164033
0.2,0.9,-0.0038167862
