current,target,value
0.9,0.2,0.008116489
0.9,0.25,0.008127239
0.9,0.3,0.008076575
0.9,0.35,0.007956106
0.9,0.4,0.0077626873
0.9,0.45,0.0074646045
0.9,0.5,0.0070507163
0.9,0.55,0.006505906
0.9,0.6,0.0058135986
0.9,0.65,0.0050331918
0.9,0.7,0.004176415
0.9,0.75,0.0032801412
0.9,0.8,0.0024041138
0.9,0.85,0.0015572183
0.9,0.9,0.00077259104
0.85,0.2,0.007884754
0.85,0.25,0.007900994
0.85,0.3,0.007854142
0.85,0.35,0.00772041
0.85,0.4,0.0075114504
0.85,0.45,0.007185498
0.85,0.5,0.00673696
0.85,0.55,0.0061385706
0.85,0.6,0.005383417
0.85,0.65,0.004534432
0.85,0.7,0.003599654
0.85,0.75,0.0026243473
0.85,0.8,0.0016729687
0.85,0.85,0.00075483636
0.85,0.9,-9.7268814e-05
0.8,0.2,0.0076215165
0.8,0.25,0.0076343985
0.8,0.3,0.00757843
0.8,0.35,0.007434766
0.8,0.4,0.0071995333
0.8,0.45,0.006842031
0.8,0.5,0.0063470844
0.8,0.55,0.005696639
0.8,0.6,0.0048775086
0.8,0.65,0.0039576064
0.8,0.7,0.0029566397
0.8,0.75,0.001911022
0.8,0.8,0.00089332246
0.8,0.85,-9.145294e-05
0.8,0.9,-0.0010006545
0.75,0.2,0.006660774
0.75,0.25,0.006673315
0.75,0.3,0.0066042827
0.75,0.35,0.0064449767
0.75,0.4,0.0061892723
0.75,0.45,0.0057998863
0.75,0.5,0.005270675
0.75,0.55,0.004582862
0.75,0.6,0.0037269236
0.75,0.65,0.0027771804
0.75,0.7,0.0017409242
0.75,0.75,0.00066459755
0.75,0.8,-0.00038015627
0.75,0.85,-0.0013860932
0.75,0.9,-0.0023187634
0.7,0.2,0.0058403197
0.7,0.25,0.0058472077
0.7,0.3,0.00576779
0.7,0.35,0.0055927522
0.7,0.4,0.0053122886
0.7,0.45,0.0049030767
0.7,0.5,0.004355791
0.7,0.55,0.0036578183
0.7,0.6,0.0027981654
0.7,0.65,0.0018509167
0.7,0.7,0.0008256054
0.7,0.75,-0.00023272532
0.7,0.8,-0.0012577572
0.7,0.85,-0.002242259
0.7,0.9,-0.0031466978
0.65,0.2,0.0048609804
0.65,0.25,0.004843601
0.65,0.3,0.00473706
0.65,0.35,0.004527223
0.65,0.4,0.004215288
0.65,0.45,0.0037825801
0.65,0.5,0.0032244464
0.65,0.55,0.0025276917
0.65,0.6,0.0016872503
0.65,0.65,0.00077399163
0.65,0.7,-0.00020685125
0.65,0.75,-0.0012031662
0.65,0.8,-0.002172997
0.65,0.85,-0.0031030877
0.65,0.9,-0.003954204
0.6,0.2,0.004222463
0.6,0.25,0.004202047
0.6,0.3,0.00406308
0.6,0.35,0.0038106563
0.6,0.4,0.0034522088
0.6,0.45,0.0029893431
0.6,0.5,0.0024119515
0.6,0.55,0.0017277133
0.6,0.6,0.00092600845
0.6,0.65,7.556938e-05
0.6,0.7,-0.00082406506
0.6,0.75,-0.001726965
0.6,0.8,-0.002601028
0.6,0.85,-0.003435193
0.6,0.9,-0.0041903798
0.55,0.2,0.0033965574
0.55,0.25,0.0033316012
0.55,0.3,0.0031401713
0.55,0.35,0.002830032
0.55,0.4,0.0024095026
0.55,0.45,0.0019031665
0.55,0.5,0.001328803
0.55,0.55,0.0006718662
0.55,0.6,-5.529339e-05
0.55,0.65,-0.00080166734
0.55,0.7,-0.0015806674
0.55,0.75,-0.0023557704
0.55,0.8,-0.0030821844
0.55,0.85,-0.003773059
0.55,0.9,-0.004400128
0.5,0.2,0.0029065078
0.5,0.25,0.0027918755
0.5,0.3,0.002526374
0.5,0.35,0.0021502937
0.5,0.4,0.0016722915
0.5,0.45,0.0011352538
0.5,0.5,0.0005580005
0.5,0.55,-5.983544e-05
0.5,0.6,-0.0007011808
0.5,0.65,-0.0013374293
0.5,0.7,-0.0019779613
0.5,0.75,-0.002603023
0.5,0.8,-0.0031847174
0.5,0.85,-0.0037283618
0.5,0.9,-0.0042242785
0.45,0.2,0.002428495
0.45,0.25,0.0022319055
0.45,0.3,0.0018539244
0.45,0.35,0.0014018363
0.45,0.4,0.0008697949
0.45,0.45,0.0003150973
0.45,0.5,-0.0002326179
0.45,0.55,-0.00075874495
0.45,0.6,-0.0012872849
0.45,0.65,-0.0017686891
0.45,0.7,-0.0022312598
0.45,0.75,-0.0026752143
0.45,0.8,-0.0030828384
0.45,0.85,-0.0034601018
0.45,0.9,-0.0037973337
0.4,0.2,0.0019693044
0.4,0.25,0.0016512767
0.4,0.3,0.0011828324
0.4,0.35,0.0006438667
0.4,0.4,4.725545e-05
0.4,0.45,-0.0005311355
0.4,0.5,-0.0010727904
0.4,0.55,-0.0015745854
0.4,0.6,-0.0020368653
0.4,0.65,-0.0024447236
0.4,0.7,-0.002827279
0.4,0.75,-0.0031811825
0.4,0.8,-0.0035085531
0.4,0.85,-0.0038083834
0.4,0.9,-0.0040752725
0.35,0.2,0.0019228683
0.35,0.25,0.0014631655
0.35,0.3,0.00086265797
0.35,0.35,0.00026577967
0.35,0.4,-0.000358927
0.35,0.45,-0.00093282264
0.35,0.5,-0.0014349344
0.35,0.55,-0.0018392387
0.35,0.6,-0.0022207669
0.35,0.65,-0.0025240164
0.35,0.7,-0.002781529
0.35,0.75,-0.003030791
0.35,0.8,-0.0032463104
0.35,0.85,-0.0034274803
0.35,0.9,-0.0036105001
0.3,0.2,0.0013554086
0.3,0.25,0.0007080856
0.3,0.3,7.1310424e-06
0.3,0.35,-0.000655017
0.3,0.4,-0.001272388
0.3,0.45,-0.0017786718
0.3,0.5,-0.0022283958
0.3,0.55,-0.002549959
0.3,0.6,-0.0028307978
0.3,0.65,-0.0030568815
0.3,0.7,-0.0032566718
0.3,0.75,-0.0034536321
0.3,0.8,-0.0036127518
0.3,0.85,-0.0037823988
0.3,0.9,-0.0039023715
0.25,0.2,0.00050436467
0.25,0.25,-0.0002956486
0.25,0.3,-0.0010727327
