current,target,value
0.3,0.5,-0.0023711808
0.3,0.55,-0.0024564934
0.3,0.6,-0.002474814
0.3,0.65,-0.0024145395
0.3,0.7,-0.002317056
0.3,0.75,-0.0021931878
0.3,0.8,-0.0020480067
0.3,0.85,-0.001908802
0.3,0.9,-0.0017735235
0.25,0.2,-0.00018943874
0.25,0.25,-0.000867949
0.25,0.3,-0.0014654397
0.25,0.35,-0.0019420979
0.25,0.4,-0.002299046
0.25,0.45,-0.0025378254
0.25,0.5,-0.002657898
0.25,0.55,-0.0026840495
0.25,0.6,-0.0026656184
0.25,0.65,-0.002592574
0.25,0.7,-0.002500737
0.25,0.75,-0.0023911009
0.25,0.8,-0.0022523082
0.25,0.85,-0.0021459814
0.25,0.9,-0.0020316672
0.2,0.2,-0.00060889835
0.2,0.25,-0.0013830358
0.2,0.3,-0.0019874442
0.2,0.35,-0.0024243817
0.2,0.4,-0.0027165161
0.2,0.45,-0.002882464
0.2,0.5,-0.00293514
0.2,0.55,-0.0029171852
0.2,0.6,-0.002868358
0.2,0.65,-0.0027925174
0.2,0.7,-0.0027105631
0.2,0.75,-0.0026131712
0.2,0.8,-0.0024955347
0.2,0.85,-0.002411859
0.2,0.9,-0.0023205816
